Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
4.0,I,0,0,1,0,60,0
4.12,I,0,0,1,0,55,7
4.19,I,0,0,1,0,60,0
4.31,I,0,0,1,0,55,7
4.38,I,0,0,1,0,60,0
4.44,I,0,0,1,0,55,7
4.5,I,0,0,1,0,60,0
4.5,ii,2,2,2,0,60,0
4.62,ii,2,2,2,0,60,0
4.75,ii,2,2,2,0,60,0
5.0,iii,4,4,3,0,60,0
5.0,iii,4,4,3,0,60,0
5.06,iii,4,4,3,0,55,7
5.12,iii,4,4,3,0,60,0
5.19,iii,4,4,3,0,55,7
5.25,iii,4,4,3,0,60,0
5.44,iii,4,4,3,0,60,0
5.5,IV,5,5,4,0,60,0
5.56,IV,5,5,4,0,57,9
5.62,IV,5,5,4,0,60,0
6.0,V,7,7,5,0,60,0
6.5,V,7,7,5,0,64,4
6.62,V,7,7,5,0,64,4
8.0,I,0,0,1,0,64,4
8.12,I,0,0,1,0,60,0
8.19,I,0,0,1,0,55,7
8.25,I,0,0,1,0,60,0
8.44,I,0,0,1,0,60,0
8.5,ii,2,2,2,0,60,0
8.56,ii,2,2,2,0,60,0
8.69,ii,2,2,2,0,60,0
8.81,ii,2,2,2,0,60,0
8.94,ii,2,2,2,0,60,0
9.0,ii,2,2,2,0,60,0
9.0,iii,4,4,3,0,60,0
9.12,iii,4,4,3,0,60,0
9.19,iii,4,4,3,0,60,0
9.31,iii,4,4,3,0,55,7
9.38,iii,4,4,3,0,60,0
9.5,IV,5,5,4,0,60,0
9.5,IV,5,5,4,0,60,0
9.56,IV,5,5,4,0,57,9
9.62,IV,5,5,4,0,60,0
10.0,V,7,7,5,0,60,0
10.5,V,7,7,5,0,64,4
10.56,V,7,7,5,0,62,2
10.62,V,7,7,5,0,64,4
12.0,IV,5,5,4,0,64,4
12.5,IV,5,5,4,0,64,4
12.69,IV,5,5,4,0,64,4
12.88,IV,5,5,4,0,64,4
13.0,V,7,7,5,0,64,4
13.38,V,7,7,5,0,64,4
13.5,V,7,7,5,0,59,11
13.56,V,7,7,5,0,62,2
14.0,IV,5,5,4,0,62,2
14.5,IV,5,5,4,0,64,4
14.56,IV,5,5,4,0,62,2
14.62,IV,5,5,4,0,64,4
14.69,IV,5,5,4,0,62,2
14.75,IV,5,5,4,0,64,4
14.81,IV,5,5,4,0,64,4
15.0,V,7,7,5,0,64,4
15.5,V,7,7,5,0,64,4
15.62,V,7,7,5,0,60,0
15.69,V,7,7,5,0,62,2
16.0,IV,5,5,4,0,62,2
16.25,IV,5,5,4,0,60,0
16.38,IV,5,5,4,0,60,0
16.44,IV,5,5,4,0,60,0
16.5,iii,4,4,3,0,60,0
17.0,iii,4,4,3,0,60,0
17.0,ii,2,2,2,0,60,0
17.12,ii,2,2,2,0,60,0
17.25,ii,2,2,2,0,55,7
17.5,I,0,0,1,0,55,7
18.0,IV,5,5,4,0,55,7
18.19,IV,5,5,4,0,60,0
18.38,IV,5,5,4,0,60,0
18.44,IV,5,5,4,0,60,0
18.5,iii,4,4,3,0,60,0
19.0,ii,2,2,2,0,60,0
19.0,ii,2,2,2,0,57,9
19.12,ii,2,2,2,0,55,7
19.25,ii,2,2,2,0,55,7
19.5,I,0,0,1,0,55,7
19.94,I,0,0,1,0,55,7
20.0,ii,2,2,2,0,55,7
20.0,ii,2,2,2,0,60,0
20.12,ii,2,2,2,0,60,0
20.19,ii,2,2,2,0,57,9
20.25,ii,2,2,2,0,57,9
20.31,ii,2,2,2,0,57,9
20.5,ii,2,2,2,0,60,0
20.75,ii,2,2,2,0,57,9
21.0,IV,5,5,4,0,57,9
21.5,IV,5,5,4,0,60,0
21.62,IV,5,5,4,0,60,0
22.0,IV,5,5,4,0,62,2
22.0,V,7,7,5,0,62,2
23.5,V,7,7,5,0,65,5
23.62,V,7,7,5,0,64,4
23.69,V,7,7,5,0,60,0
23.88,V,7,7,5,0,65,5
24.0,I,0,0,1,0,65,5
24.5,IV,5,5,4,0,65,5
25.0,V,7,7,5,0,65,5
25.5,V,7,7,5,0,60,0
25.62,V,7,7,5,0,60,0
25.69,V,7,7,5,0,60,0
25.88,V,7,7,5,0,64,4
26.0,I,0,0,1,0,64,4
26.5,IV,5,5,4,0,64,4
27.0,V,7,7,5,0,64,4
27.31,V,7,7,5,0,60,0
27.38,V,7,7,5,0,60,0
27.5,V,7,7,5,0,60,0
27.56,V,7,7,5,0,60,0
27.75,V,7,7,5,0,60,0
27.81,V,7,7,5,0,64,4
28.0,I,0,0,1,0,64,4
28.5,IV,5,5,4,0,64,4
29.0,V,7,7,5,0,64,4
29.38,V,7,7,5,0,60,0
29.5,V,7,7,5,0,60,0
29.56,V,7,7,5,0,60,0
29.62,V,7,7,5,0,60,0
29.81,V,7,7,5,0,60,0
30.0,I,0,0,1,0,60,0
30.0,I,0,0,1,0,64,4
30.5,IV,5,5,4,0,64,4
31.0,V,7,7,5,0,64,4
31.25,V,7,7,5,0,60,0
31.38,V,7,7,5,0,60,0
31.5,V,7,7,5,0,65,5
31.62,V,7,7,5,0,64,4
31.88,V,7,7,5,0,60,0
32.0,I,0,0,1,0,60,0
32.5,IV,5,5,4,0,60,0
33.0,V,7,7,5,0,60,0
34.0,I,0,0,1,0,60,0
34.5,IV,5,5,4,0,60,0
35.0,V,7,7,5,0,60,0
36.62,V,7,7,5,0,65,5
36.88,V,7,7,5,0,64,4
37.0,I,0,0,1,0,64,4
37.12,I,0,0,1,0,64,4
37.31,I,0,0,1,0,60,0
37.38,I,0,0,1,0,57,9
37.44,I,0,0,1,0,60,0
37.5,ii,2,2,2,0,60,0
37.56,ii,2,2,2,0,57,9
37.62,ii,2,2,2,0,60,0
37.75,ii,2,2,2,0,60,0
37.94,ii,2,2,2,0,60,0
38.0,iii,4,4,3,0,60,0
38.12,iii,4,4,3,0,60,0
38.25,iii,4,4,3,0,60,0
38.31,iii,4,4,3,0,57,9
38.38,iii,4,4,3,0,60,0
38.44,iii,4,4,3,0,57,9
38.5,IV,5,5,4,0,57,9
38.5,IV,5,5,4,0,60,0
38.56,IV,5,5,4,0,57,9
38.62,IV,5,5,4,0,60,0
38.69,IV,5,5,4,0,57,9
38.75,IV,5,5,4,0,60,0
38.81,IV,5,5,4,0,57,9
38.88,IV,5,5,4,0,60,0
39.0,V,7,7,5,0,60,0
39.5,V,7,7,5,0,64,4
39.69,V,7,7,5,0,64,4
39.75,V,7,7,5,0,64,4
40.88,V,7,7,5,0,60,0
41.0,V,7,7,5,0,60,0
41.0,I,0,0,1,0,60,0
41.06,I,0,0,1,0,57,9
41.12,I,0,0,1,0,60,0
41.19,I,0,0,1,0,57,9
41.25,I,0,0,1,0,60,0
41.38,I,0,0,1,0,57,9
41.44,I,0,0,1,0,60,0
41.5,ii,2,2,2,0,60,0
41.56,ii,2,2,2,0,57,9
41.62,ii,2,2,2,0,60,0
41.69,ii,2,2,2,0,60,0
41.81,ii,2,2,2,0,60,0
41.94,ii,2,2,2,0,57,9
42.0,iii,4,4,3,0,57,9
42.0,iii,4,4,3,0,60,0
42.19,iii,4,4,3,0,57,9
42.25,iii,4,4,3,0,60,0
42.31,iii,4,4,3,0,57,9
42.44,iii,4,4,3,0,60,0
42.5,IV,5,5,4,0,60,0
42.5,IV,5,5,4,0,57,9
42.69,IV,5,5,4,0,60,0
42.81,IV,5,5,4,0,57,9
42.88,IV,5,5,4,0,60,0
43.0,V,7,7,5,0,60,0
43.5,V,7,7,5,0,64,4
43.69,V,7,7,5,0,64,4
43.75,V,7,7,5,0,64,4
45.0,IV,5,5,4,0,64,4
45.69,IV,5,5,4,0,62,2
45.75,IV,5,5,4,0,64,4
45.88,IV,5,5,4,0,62,2
45.94,IV,5,5,4,0,64,4
46.0,V,7,7,5,0,64,4
46.0,V,7,7,5,0,64,4
46.25,V,7,7,5,0,64,4
46.38,V,7,7,5,0,60,0
46.44,V,7,7,5,0,62,2
47.0,IV,5,5,4,0,62,2
47.12,IV,5,5,4,0,64,4
47.19,IV,5,5,4,0,62,2
47.25,IV,5,5,4,0,64,4
47.31,IV,5,5,4,0,62,2
47.38,IV,5,5,4,0,64,4
47.5,IV,5,5,4,0,64,4
47.69,IV,5,5,4,0,60,0
47.75,IV,5,5,4,0,64,4
47.88,IV,5,5,4,0,64,4
48.0,V,7,7,5,0,64,4
48.25,V,7,7,5,0,64,4
48.31,V,7,7,5,0,60,0
48.38,V,7,7,5,0,62,2
49.0,IV,5,5,4,0,62,2
49.12,IV,5,5,4,0,60,0
49.31,IV,5,5,4,0,60,0
49.5,IV,5,5,4,0,60,0
49.5,iii,4,4,3,0,60,0
49.56,iii,4,4,3,0,60,0
49.69,iii,4,4,3,0,60,0
49.81,iii,4,4,3,0,60,0
50.0,ii,2,2,2,0,60,0
50.12,ii,2,2,2,0,60,0
50.25,ii,2,2,2,0,55,7
50.31,ii,2,2,2,0,55,7
50.5,I,0,0,1,0,55,7
50.94,I,0,0,1,0,60,0
51.0,IV,5,5,4,0,60,0
51.06,IV,5,5,4,0,60,0
51.19,IV,5,5,4,0,60,0
51.31,IV,5,5,4,0,60,0
51.38,IV,5,5,4,0,60,0
51.44,IV,5,5,4,0,60,0
51.5,iii,4,4,3,0,60,0
51.5,iii,4,4,3,0,60,0
51.62,iii,4,4,3,0,60,0
51.94,iii,4,4,3,0,57,9
52.0,ii,2,2,2,0,57,9
52.06,ii,2,2,2,0,55,7
52.25,ii,2,2,2,0,55,7
52.5,I,0,0,1,0,55,7
52.88,I,0,0,1,0,60,0
53.0,ii,2,2,2,0,60,0
53.0,ii,2,2,2,0,60,0
53.38,ii,2,2,2,0,60,0
53.44,ii,2,2,2,0,60,0
53.5,ii,2,2,2,0,60,0
53.62,ii,2,2,2,0,60,0
54.0,IV,5,5,4,0,60,0
54.5,IV,5,5,4,0,60,0
54.62,IV,5,5,4,0,60,0
54.88,IV,5,5,4,0,62,2
55.0,V,7,7,5,0,62,2
56.5,V,7,7,5,0,65,5
56.62,V,7,7,5,0,64,4
56.69,V,7,7,5,0,60,0
56.88,V,7,7,5,0,65,5
57.0,I,0,0,1,0,65,5
57.5,IV,5,5,4,0,65,5
58.0,V,7,7,5,0,65,5
58.5,V,7,7,5,0,65,5
58.62,V,7,7,5,0,64,4
58.69,V,7,7,5,0,60,0
58.88,V,7,7,5,0,65,5
59.0,I,0,0,1,0,65,5
59.5,IV,5,5,4,0,65,5
60.0,V,7,7,5,0,65,5
60.38,V,7,7,5,0,60,0
60.44,V,7,7,5,0,60,0
60.5,V,7,7,5,0,65,5
60.62,V,7,7,5,0,64,4
60.88,V,7,7,5,0,60,0
61.0,I,0,0,1,0,60,0
61.5,IV,5,5,4,0,60,0
62.0,V,7,7,5,0,60,0
62.31,V,7,7,5,0,60,0
62.38,V,7,7,5,0,60,0
62.44,V,7,7,5,0,60,0
62.5,V,7,7,5,0,65,5
62.62,V,7,7,5,0,64,4
62.88,V,7,7,5,0,60,0
63.0,I,0,0,1,0,60,0
63.5,IV,5,5,4,0,60,0
64.0,V,7,7,5,0,60,0
64.25,V,7,7,5,0,60,0
64.38,V,7,7,5,0,60,0
64.5,V,7,7,5,0,64,4
64.62,V,7,7,5,0,64,4
64.88,V,7,7,5,0,60,0
65.0,I,0,0,1,0,60,0
65.5,IV,5,5,4,0,60,0
66.0,V,7,7,5,0,60,0
66.25,V,7,7,5,0,60,0
66.38,V,7,7,5,0,60,0
66.44,V,7,7,5,0,65,5
66.62,V,7,7,5,0,64,4
66.88,V,7,7,5,0,60,0
67.0,I,0,0,1,0,60,0
67.5,IV,5,5,4,0,60,0
68.0,V,7,7,5,0,60,0
69.0,I,0,0,1,0,60,0
69.5,IV,5,5,4,0,60,0
70.0,V,7,7,5,0,60,0
71.62,V,7,7,5,0,67,7
71.88,V,7,7,5,0,64,4
72.0,I,0,0,1,0,64,4
72.19,I,0,0,1,0,64,4
72.25,I,0,0,1,0,60,0
72.31,I,0,0,1,0,64,4
72.44,I,0,0,1,0,60,0
72.5,ii,2,2,2,0,60,0
72.5,ii,2,2,2,0,64,4
72.69,ii,2,2,2,0,60,0
72.75,ii,2,2,2,0,64,4
72.81,ii,2,2,2,0,60,0
72.88,ii,2,2,2,0,64,4
73.0,iii,4,4,3,0,64,4
73.12,iii,4,4,3,0,64,4
73.19,iii,4,4,3,0,60,0
73.25,iii,4,4,3,0,64,4
73.31,iii,4,4,3,0,60,0
73.38,iii,4,4,3,0,64,4
73.44,iii,4,4,3,0,60,0
73.5,IV,5,5,4,0,60,0
73.5,IV,5,5,4,0,64,4
73.62,IV,5,5,4,0,64,4
73.69,IV,5,5,4,0,62,2
73.75,IV,5,5,4,0,64,4
73.88,IV,5,5,4,0,64,4
74.0,V,7,7,5,0,64,4
74.5,V,7,7,5,0,64,4
74.69,V,7,7,5,0,64,4
74.75,V,7,7,5,0,64,4
76.0,V,7,7,5,0,60,0
76.0,I,0,0,1,0,60,0
76.06,I,0,0,1,0,57,9
76.12,I,0,0,1,0,60,0
76.19,I,0,0,1,0,57,9
76.25,I,0,0,1,0,60,0
76.38,I,0,0,1,0,60,0
76.44,I,0,0,1,0,57,9
76.5,ii,2,2,2,0,57,9
76.5,ii,2,2,2,0,60,0
76.56,ii,2,2,2,0,60,0
76.69,ii,2,2,2,0,60,0
76.94,ii,2,2,2,0,57,9
77.0,ii,2,2,2,0,60,0
77.0,iii,4,4,3,0,60,0
77.06,iii,4,4,3,0,57,9
77.25,iii,4,4,3,0,60,0
77.31,iii,4,4,3,0,60,0
77.44,iii,4,4,3,0,57,9
77.5,iii,4,4,3,0,60,0
77.5,IV,5,5,4,0,60,0
77.56,IV,5,5,4,0,60,0
77.75,IV,5,5,4,0,60,0
77.81,IV,5,5,4,0,60,0
78.0,V,7,7,5,0,60,0
78.25,V,7,7,5,0,64,4
78.44,V,7,7,5,0,64,4
78.5,V,7,7,5,0,64,4
80.0,IV,5,5,4,0,64,4
80.19,IV,5,5,4,0,64,4
80.25,IV,5,5,4,0,64,4
80.31,IV,5,5,4,0,64,4
80.38,IV,5,5,4,0,64,4
80.44,IV,5,5,4,0,64,4
80.5,IV,5,5,4,0,64,4
80.56,IV,5,5,4,0,64,4
80.75,IV,5,5,4,0,64,4
80.88,IV,5,5,4,0,64,4
80.94,IV,5,5,4,0,64,4
81.0,V,7,7,5,0,64,4
81.25,V,7,7,5,0,64,4
81.38,V,7,7,5,0,59,11
81.44,V,7,7,5,0,62,2
82.0,IV,5,5,4,0,62,2
82.19,IV,5,5,4,0,62,2
82.25,IV,5,5,4,0,64,4
82.31,IV,5,5,4,0,62,2
82.38,IV,5,5,4,0,64,4
82.44,IV,5,5,4,0,62,2
82.56,IV,5,5,4,0,64,4
82.69,IV,5,5,4,0,64,4
82.81,IV,5,5,4,0,64,4
83.0,V,7,7,5,0,64,4
83.25,V,7,7,5,0,64,4
83.38,V,7,7,5,0,62,2
83.5,V,7,7,5,0,62,2
84.0,IV,5,5,4,0,62,2
84.12,IV,5,5,4,0,60,0
84.25,IV,5,5,4,0,60,0
84.38,IV,5,5,4,0,60,0
84.5,iii,4,4,3,0,60,0
84.69,iii,4,4,3,0,60,0
84.75,iii,4,4,3,0,60,0
84.88,iii,4,4,3,0,60,0
85.0,ii,2,2,2,0,60,0
85.0,ii,2,2,2,0,60,0
85.06,ii,2,2,2,0,60,0
85.19,ii,2,2,2,0,60,0
85.5,I,0,0,1,0,60,0
86.0,IV,5,5,4,0,60,0
86.12,IV,5,5,4,0,60,0
86.25,IV,5,5,4,0,60,0
86.38,IV,5,5,4,0,60,0
86.5,IV,5,5,4,0,60,0
86.5,iii,4,4,3,0,60,0
86.62,iii,4,4,3,0,60,0
87.0,iii,4,4,3,0,60,0
87.0,ii,2,2,2,0,60,0
87.12,ii,2,2,2,0,60,0
87.31,ii,2,2,2,0,60,0
87.5,I,0,0,1,0,60,0
87.94,I,0,0,1,0,60,0
88.0,ii,2,2,2,0,60,0
88.12,ii,2,2,2,0,60,0
88.19,ii,2,2,2,0,60,0
88.44,ii,2,2,2,0,60,0
88.62,ii,2,2,2,0,60,0
88.81,ii,2,2,2,0,60,0
89.0,ii,2,2,2,0,60,0
89.0,IV,5,5,4,0,60,0
89.12,IV,5,5,4,0,60,0
89.25,IV,5,5,4,0,60,0
89.62,IV,5,5,4,0,60,0
89.75,IV,5,5,4,0,60,0
90.0,V,7,7,5,0,60,0
90.0,V,7,7,5,0,62,2
91.5,V,7,7,5,0,65,5
91.62,V,7,7,5,0,64,4
91.69,V,7,7,5,0,60,0
91.88,V,7,7,5,0,65,5
92.0,I,0,0,1,0,65,5
92.5,IV,5,5,4,0,65,5
93.0,V,7,7,5,0,65,5
93.5,V,7,7,5,0,65,5
93.62,V,7,7,5,0,64,4
93.69,V,7,7,5,0,60,0
93.88,V,7,7,5,0,60,0
94.0,I,0,0,1,0,60,0
94.5,IV,5,5,4,0,60,0
95.0,V,7,7,5,0,60,0
95.31,V,7,7,5,0,60,0
95.38,V,7,7,5,0,65,5
95.62,V,7,7,5,0,65,5
95.81,V,7,7,5,0,64,4
96.0,I,0,0,1,0,64,4
96.0,I,0,0,1,0,60,0
96.5,IV,5,5,4,0,60,0
97.0,V,7,7,5,0,60,0
97.12,V,7,7,5,0,64,4
97.19,V,7,7,5,0,65,5
97.38,V,7,7,5,0,64,4
97.44,V,7,7,5,0,65,5
97.62,V,7,7,5,0,64,4
97.88,V,7,7,5,0,60,0
98.0,I,0,0,1,0,60,0
98.5,IV,5,5,4,0,60,0
99.0,V,7,7,5,0,60,0
99.12,V,7,7,5,0,65,5
99.25,V,7,7,5,0,65,5
99.31,V,7,7,5,0,64,4
99.5,V,7,7,5,0,65,5
99.62,V,7,7,5,0,64,4
99.88,V,7,7,5,0,60,0
100.0,I,0,0,1,0,60,0
100.5,IV,5,5,4,0,60,0
101.0,V,7,7,5,0,60,0
101.25,V,7,7,5,0,60,0
101.38,V,7,7,5,0,60,0
101.44,V,7,7,5,0,65,5
101.62,V,7,7,5,0,64,4
101.88,V,7,7,5,0,60,0
102.0,I,0,0,1,0,60,0
102.5,IV,5,5,4,0,60,0
103.0,V,7,7,5,0,60,0
104.0,I,0,0,1,0,60,0
104.5,IV,5,5,4,0,60,0
105.0,V,7,7,5,0,60,0
106.5,V,7,7,5,0,67,7
107.0,I,0,0,1,0,67,7
107.12,I,0,0,1,0,60,0
107.19,I,0,0,1,0,60,0
107.31,I,0,0,1,0,60,0
107.44,I,0,0,1,0,57,9
107.5,ii,2,2,2,0,57,9
107.5,ii,2,2,2,0,60,0
107.56,ii,2,2,2,0,60,0
107.69,ii,2,2,2,0,60,0
107.75,ii,2,2,2,0,60,0
107.88,ii,2,2,2,0,57,9
108.0,ii,2,2,2,0,60,0
108.0,iii,4,4,3,0,60,0
108.06,iii,4,4,3,0,57,9
108.19,iii,4,4,3,0,60,0
108.25,iii,4,4,3,0,57,9
108.38,iii,4,4,3,0,60,0
108.44,iii,4,4,3,0,57,9
108.5,IV,5,5,4,0,57,9
108.5,IV,5,5,4,0,60,0
108.56,IV,5,5,4,0,57,9
108.69,IV,5,5,4,0,60,0
108.75,IV,5,5,4,0,57,9
